NOMBRE_ALMACEN,POBLACION,MUNICIPIO,ESTADO,CODIGO_POSTAL,TIPO_UBICACION,CATEGORIA_TIENDA,CLIMA,TIPO_TIENDA
TLAHUAC,Ciudad de México,Iztapalapa,Ciudad de México,09820,Calle,Catalogo,Templado,Show Room
TOLUCA,Toluca de Lerdo,Toluca,Estado de México,50090,Price Shoes,Catalogo,Frío,Show Room
TONALA,Tonala,Tonala,Chihuahua,30500,Centro Comercial,Impulso,Calor,Show Room
TULYEHUALCO,Ciudad de México,Xochimilco,Ciudad de México,16090,Calle,Impulso,Templado,Show Room
TUXTLA CENTRO,Tuxtla Gutierrez,Tuxtla Gutierrez,Chihuahua,29000,Calle,Impulso,Calor,Show Room
TUXTLA GTZ 3,Tuxtla Gutierrez,Tuxtla Gutierrez,Chihuahua,29000,Calle,Impulso,Calor,Show Room
VALLEJO,Azcapotzalco,Azcapotzalco,Ciudad de México,02300,Price Shoes,Catalogo,Templado,Show Room
CHETUMAL,Othon P Blanco,Othon P Blanco,Quintana Roo,77090,Calle,Impulso,Calor,Show Room
CUAUTITLAN IZCALLI,Cuautitlán,Cuautitlán,Estado de México,54800,Estacion de Tren Ligero CETRAM,Impulso,Templado,Show Room
CUERNAVACA CENTRO,Cuernavaca,Cuernavaca,Morelos,62000,Calle,Impulso,Calor,Show Room
INSURGENTES,Ciudad de México,Cuauhtémoc,Ciudad de México,06100,Calle,Impulso,Templado,Show Room
MERIDA,Merida,Merida,Yucatán,97000,Calle,Impulso,Calor,Show Room
NICOLAS ROMERO CENTRO,Villa Nicolás Romero,Nicolás Romero,Estado de México,54400,Calle,Impulso,Templado,Show Room
OLIVAR DEL CONDE,Alvaro Obregón,‰lvaro Obregón,Ciudad de México,01470,Price Shoes,Catalogo,Templado,Show Room
PLAYA DEL CARMEN,Solidaridad,Solidaridad,Quintana Roo,77710,Calle,Impulso,Calor,Show Room
PUEBLA CENTRO,Puebla (Heroica Puebla),Puebla,Puebla,72000,Calle,Impulso,Frío,Show Room
VALLADOLID,Valladolid,Valladolid,Yucatán,97780,Calle,Impulso,Calor,Show Room
XOCHIMILCO,Ciudad de México,Xochimilco,Ciudad de México,16090,Calle,Impulso,Templado,Show Room
CARDENAS,Cárdenas,Cárdenas,Tabasco,86500,Calle,Impulso,Calor,Show Room
CIUDAD JARDIN,Nezahualcoyotl,Nezahualcoyotl,Estado de México,57205,Centro Comercial,Impulso,Templado,Show Room
PARAISO,Paraiso Tabasco,Tabasco,Tabasco,86605,Calle,Impulso,Calor,Show Room
SAN ANDRES TUXTLA,San Andres Tuxtla,San Andres Tuxtla,Veracruz,95700,Calle,Impulso,Calor,Show Room
SAN MARTIN TEXMELUCAN,San Martín Texmelucan de Labastida,San Martín Texmelucan,Puebla,74000,Calle,Impulso,Frío,Show Room
TAPACHULA,Tapachula,Tapachula,Chihuahua,30700,Calle,Impulso,Calor,Show Room
HUIXTLA,Huixtla,Huixtla,Chihuahua,30640,Calle,Impulso,Calor,Show Room
LOS REYES,Los Reyes Acaquilpan (La Paz),La Paz,Estado de México,56400,Calle,Catalogo,Templado,Show Room
METRO PINO SUAREZ,Ciudad de México,Cuauhtémoc,Ciudad de México,06090,Calle,Impulso,Templado,Show Room
ROSARIO,Azcapotzalco,Azcapotzalco,Ciudad de México,02100,Estacion de Tren Ligero CETRAM,Impulso,Templado,Show Room
TULA CENTRO,Tula de Allende,Tula de Allende,Hidalgo,42800,Calle,Impulso,Templado,Show Room
MERIDA 2,Merida,Merida,Yucatán,97000,Calle,Impulso,Calor,Show Room
CHIMALHUACAN,Chimalhuacán,Chimalhuacán,Estado de México,56335,Centro Comercial,Impulso,Templado,Show Room
ATLACOMULCO,Atlacomulco,Atlacomulco,Estado de México,50450,Calle,Impulso,Frío,Show Room
XILITLA,Xilitla,Xilitla,San Luis Potosí,79900,Calle,Impulso,Templado,Show Room
